input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
5000000,64,threads,master, , ,"schedule(static,2)",dynamic,0.48834500000000003,1706.900410413742
5000000,64,cores,spread, , ,"schedule(static,8)",static,0.491,1714.6476175785065
5000000,16,cores,master,#pragma omp parallel for,simd,"schedule(static,16)",static,0.57584,1723.1181182861328
5000000,48,cores,master,#pragma omp parallel for, ,"schedule(static,4)",static,0.576565,1731.8920550346375
5000000,256,cores,master, ,simd,"schedule(static,8)",static,0.49496,1739.7296521663666
5000000,8,threads,spread, , ,"schedule(static,8)",dynamic,0.48972499999999997,1747.648864030838
5000000,48,threads,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.592375,1756.4984719753265
5000000,2,cores,spread, , ,"schedule(static,4)",dynamic,0.490435,1764.4257578849792
5000000,128,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,0.57748,1773.891143321991
5000000,4,cores,master, ,simd,"schedule(static,2)",static,0.494895,1781.649401664734
5000000,192,threads,close,#pragma omp parallel for, ,"schedule(static,2)",static,0.57019,1790.7012612819672
5000000,16,sockets,master,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.57987,1799.4952275753021
5000000,128,sockets,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,0.570335,1808.6223850250244
5000000,64,cores,close, , , ,static,0.49107,1816.4983100891113
5000000,32,threads,close, ,simd,"schedule(static,16)",dynamic,0.488615,1824.3178160190582
5000000,2,threads,master, ,simd,"schedule(static,8)",dynamic,0.490865,1832.0655829906464
5000000,128,threads,close, ,simd,"schedule(static,4)",static,0.487435,1839.8116643428802
5000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,0.537415,1847.897515296936
5000000,256,sockets,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.5984149999999999,1857.6266114711761
5000000,16,sockets,close, ,simd,"schedule(static,4)",dynamic,0.49213,1865.410471200943
5000000,2,cores,master,#pragma omp parallel for, ,"schedule(static,32)",dynamic,0.54371,1873.459373474121
5000000,8,cores,spread, ,simd,"schedule(static,1)",static,0.48987,1881.1737945079803
5000000,48,threads,close,#pragma omp parallel for,simd,"schedule(static,32)",static,0.59209,1889.8673868179321
5000000,96,sockets,master,#pragma omp parallel for,simd,"schedule(static,16)",static,0.578605,1898.7877707481384
5000000,128,sockets,master,#pragma omp parallel for, ,"schedule(static,4)",dynamic,0.57616,1907.8977205753326
5000000,32,sockets,close,#pragma omp parallel for, , ,static,0.5568299999999999,1916.4894847869873
5000000,16,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",static,0.5583100000000001,1924.9370832443237
5000000,48,threads,close,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.5947100000000001,1934.0744948387146
5000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.5898950000000001,1943.5339119434357
5000000,8,cores,spread,#pragma omp parallel for, ,"schedule(static,32)",dynamic,0.58808,1951.8764100074768
5000000,192,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",static,0.59137,1961.0065083503723
5000000,2,threads,close,#pragma omp parallel for, , ,static,0.5421750000000001,1969.1319036483765
5000000,192,threads,spread, , ,"schedule(static,16)",dynamic,0.50336,1976.8722202777863
5000000,256,cores,spread, , , ,dynamic,0.48729,1984.6620650291443
5000000,48,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",static,0.574525,1993.193237543106
5000000,128,threads,master,#pragma omp parallel for, ,"schedule(static,32)",dynamic,0.58026,2002.2092552185059
5000000,96,threads,close, , ,"schedule(static,2)",dynamic,0.49239,2010.0302608013153
5000000,128,sockets,close,#pragma omp parallel for,simd,"schedule(static,16)",static,0.5988450000000001,2019.1761665344238
5000000,2,sockets,close, ,simd,"schedule(static,32)",dynamic,0.48694,2026.9701578617096
5000000,16,sockets,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,0.584795,2035.4070637226105
5000000,48,cores,close,#pragma omp parallel for,simd,"schedule(static,32)",static,0.57483,2043.9377644062042
5000000,32,cores,spread, ,simd,"schedule(static,32)",dynamic,0.49435,2051.7005331516266
5000000,64,threads,spread,#pragma omp parallel for, ,"schedule(static,4)",static,0.5758300000000001,2060.42133808136
5000000,32,cores,close, , , ,dynamic,0.48749,2068.218861103058
5000000,64,threads,master, , ,"schedule(static,8)",static,0.489455,2076.0393538475037
5000000,16,sockets,master, ,simd, ,dynamic,0.48138000000000003,2083.718011856079
5000000,16,threads,close, , ,"schedule(static,1)",dynamic,0.48434,2091.495436668396
5000000,96,sockets,spread, ,simd,"schedule(static,8)",static,0.494825,2099.210721731186
5000000,16,cores,master, , ,"schedule(static,1)",dynamic,0.486035,2107.027275323868
5000000,8,threads,close, , ,"schedule(static,8)",static,0.49287499999999995,2114.7224724292755
5000000,96,cores,spread, ,simd,"schedule(static,8)",static,0.491885,2122.471195936203
5000000,96,sockets,master, ,simd,"schedule(static,4)",dynamic,0.49300999999999995,2130.2028794288635
5000000,256,sockets,close, , ,"schedule(static,32)",dynamic,0.51501,2138.047751903534
5000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.5741149999999999,2146.9753110408783
5000000,192,threads,spread, , ,"schedule(static,2)",dynamic,0.48873500000000003,2154.6715121269226
5000000,4,threads,master,#pragma omp parallel for, ,"schedule(static,2)",static,0.572805,2163.0836248397827
5000000,96,sockets,spread, ,simd,"schedule(static,2)",static,0.493345,2171.2147266864777
5000000,4,cores,master, , , ,static,0.48829,2178.996775150299
5000000,64,threads,close,#pragma omp parallel for, ,"schedule(static,4)",dynamic,0.57187,2187.7171511650085
5000000,8,threads,close,#pragma omp parallel for,simd,"schedule(static,1)",static,0.582425,2195.9624786376953
5000000,128,cores,close,#pragma omp parallel for, , ,static,0.578565,2205.028734445572
5000000,192,cores,master,#pragma omp parallel for, ,"schedule(static,32)",static,0.606075,2215.800935983658
5000000,192,threads,master,#pragma omp parallel for, ,"schedule(static,2)",dynamic,0.60538,2225.0527136325836
5000000,8,cores,master, ,simd,"schedule(static,4)",static,0.48543000000000003,2232.74431347847
5000000,32,sockets,master, ,simd,"schedule(static,32)",static,0.49434,2240.5815041065216
5000000,48,threads,master, ,simd,"schedule(static,16)",dynamic,0.48553,2248.4149518013
5000000,192,sockets,close, , , ,static,0.487595,2256.2245745658875
5000000,2,threads,spread, ,simd,"schedule(static,16)",static,0.48883,2263.893527030945
5000000,4,cores,spread, ,simd,"schedule(static,4)",static,0.48796,2271.5836112499237
5000000,192,cores,spread,#pragma omp parallel for, , ,dynamic,0.579905,2280.9098796844482
5000000,96,sockets,close, , ,"schedule(static,32)",static,0.5044949999999999,2288.674041748047
5000000,256,threads,spread, , ,"schedule(static,16)",dynamic,0.49039,2296.4598512649536
5000000,32,cores,master, ,simd,"schedule(static,1)",dynamic,0.48223,2304.133415222168
5000000,4,threads,master, ,simd, ,dynamic,0.484105,2311.8725180625916
5000000,32,threads,master, , ,"schedule(static,2)",static,0.49078,2319.586180448532
